playlist_id,user_id,playlist_name,created_at
1,1,"Workout Mix","2026-05-21 16:44:03"
2,2,"Chill Songs","2026-05-21 16:44:03"
3,3,"Party Hits","2026-05-21 16:44:03"
4,4,"Late Night Vibes","2026-05-21 16:44:03"
5,5,"Road Trip","2026-05-21 16:44:03"
6,6,"Romantic Tunes","2026-05-21 16:44:03"
7,7,"Study Playlist","2026-05-21 16:44:03"
8,8,"Gym Energy","2026-05-21 16:44:03"
9,9,"Top Pop","2026-05-21 16:44:03"
10,10,"Bollywood Beats","2026-05-21 16:44:03"
11,11,"Morning Motivation","2026-05-21 16:44:03"
12,12,"Rainy Day Songs","2026-05-21 16:44:03"
13,13,"Coding Music","2026-05-21 16:44:03"
14,14,"Weekend Party","2026-05-21 16:44:03"
15,15,"Travel Playlist","2026-05-21 16:44:03"
16,16,"Focus Music","2026-05-21 16:44:03"
17,17,"Dance Hits","2026-05-21 16:44:03"
18,18,"Acoustic Mood","2026-05-21 16:44:03"
19,19,"Sleep Songs","2026-05-21 16:44:03"
20,20,"Retro Mix","2026-05-21 16:44:03"
21,21,"Tamil Hits","2026-05-21 16:44:03"
22,22,"Punjabi Power","2026-05-21 16:44:03"
23,23,"English Classics","2026-05-21 16:44:03"
24,24,"Mood Booster","2026-05-21 16:44:03"
25,25,"Hip Hop Vibes","2026-05-21 16:44:03"
26,26,"Electronic Beats","2026-05-21 16:44:03"
27,27,"Trending Now","2026-05-21 16:44:03"
28,28,Relaxation,"2026-05-21 16:44:03"
29,29,"Love Songs","2026-05-21 16:44:03"
30,30,"All Time Favorites","2026-05-21 16:44:03"
